"Локализация","Русский","English","Deutsch","Français","Español","Italiano","中文"
"text_multiplayer_IP","IP адрес лобби","Lobby IP address","Lobby-IP-Adresse","Adresse IP du lobby","Dirección IP del lobby","Indirizzo IP della lobby","大厅 IP 地址"
"text_multiplayer_IP_IP","Введите IP адрес","Enter IP address","IP-Adresse eingeben","Saisir l'adresse IP","Introducir dirección IP","Inserisci l'indirizzo IP","输入 IP 地址"
"text_multiplayer_password","Пароль лобби","Lobby password","Lobby-Passwort eingeben","Mot de passe du lobby","Contraseña del lobby","Password della lobby","大厅密码"
"text_multiplayer_password_pass","Введите пароль лобби","Enter lobby password","Lobby-Passwort eingeben","Saisir le mot de passe du lobby","Introducir contraseña del lobby","Inserisci la password della lobby","输入大厅密码"
"text_graphic_fps_fps","Введите FPS...","Enter FPS...","FPS eingeben...","Saisir les FPS...","Introducir FPS...","Inserisci FPS...","输入 FPS..."
"text_menu_continue","Продолжить","Continue","Weiter","Continuer","Continuar","Continua","继续"
"text_menu_exit_main_menu","Выйти в меню","Exit to menu","Zum Menü zurückkehren","Retour au menu","Salir al menú","Esci al menu","返回菜单"
"text_load_launching","Запуск...","Starting...","Startet...","Démarrage…","Iniciando… ","Avvio in corso...","开始……"
"text_load_1phase","Загрузка игры...","Loading game...","Spiel wird geladen...","Chargement du jeu…","Cargando juego…","Caricamento gioco in corso...","正在加载游戏……"
"text_load_2phase","Загрузка текстур...","Loading textures...","Texturen werden geladen...","Chargement des textures…","Cargando texturas…","Caricamento texture in corso...","正在加载纹理……"
"text_load_3phase","Финализация...","Finalizing...","Abschließend","Finalisation","Finalizando","Finalizzazione in corso...","正在完成……"
"text_menu_unactive","Неактивные","Inactive","Inaktiv","Inactif","Inactivo","Inattivo","不活跃"
"text_menu_active","Активные","Active","Aktiv","Actif","Activo","Attivo","活跃"
"text_menu_back","Назад","Back","Zurück","Retour","Atrás","Indietro","返回"
"text_menu_confirm_comfirm","Действительно ли вы хотите выйти из игры?","Are you sure you want to exit the game?","Möchten Sie das Spiel wirklich beenden?","Êtes-vous sûr de vouloir quitter le jeu ?","¿Seguro que quieres salir del juego?","Sei sicuro di voler uscire dal gioco?","您确定要退出游戏吗？"
"text_menu_confirm","Выход из игры","Exit the game","Spiel beenden","Quitter le jeu","Salir del juego","Esci dal gioco","退出游戏"
"text_menu_dericive_mod","Директория модов","Mod Directory","Mod-Verzeichnis","Répertoire des mods","Directorio de mods","Directory Mod","模组目录"
"text_lobby_change","Настройки лобби","Room Settings","Raumeinstellungen","Paramètres de la salle","Ajustes de la sala","Impostazioni Stanza","大厅设置"
"text_lobby_ready","Готов","Ready","Bereit","Prêt","Listo","Pronto","准备就绪"
"text_lobby_startgame","Начать игру","Start Game","Spiel starten","Démarrer la partie","Iniciar partida","Inizia partita","开始游戏"
"text_lobby_otherconnect","Подключиться к другому лобби","Join Another Room","Anderem Raum beitreten","Rejoindre une autre salle","Unirse a otra sala","Unisciti a un'altra stanza","加入其他大厅"
"text_lobby_player_player","Введите количество...","Enter Number...","Anzahl eingeben...","Saisir le nombre de joueurs...","Introducir número...","Inserisci numero...","输入人数..."
"text_lobby_player","Максимальное количество игроков","Maximum Players","Maximale Spieleranzahl","Nombre maximum de joueurs","Jugadores máximos","Numero massimo di giocatori","最大玩家数"
"text_lobby_cheats","Включить читы?","Enable Cheats?","Cheats aktivieren?","Activer les codes de triche ?","¿Activar trucos?","Abilitare i trucchi?","启用作弊？"
"text_lobby_selectcolorplayer","Выбор цвета","Color Selection","Farbauswahl","","Selección de color","Selezione colore","颜色选择"
"text_lobby_color_red","Красный","Red","Rot","Sélection des couleurs","Rojo","Rosso","红色"
"text_lobby_color_blue","Синий","Blue","Blau","Rouge","Azul","Blu","蓝色"
"text_lobby_color_white","Белый","White","Weiß","Bleu","Blanco","Bianco","白色"
"text_lobby_color_green","Зеленый","Green","Grün","Blanc","Verde","Verde","绿色"
"text_lobby_color_purple","Фиолетовый","Purple","Lila","Vert","Morado","Viola","紫色"
"text_lobby_color_pink","Розовый","Pink","Rosa","Violet","Rosa","Rosa","粉色"
"text_lobby_color_cyan","Голубой","Sky Blue","Hellblau","Rose","Celestial","Azzurro","浅蓝色"
"text_lobby_color_whitegreen","Салатовый","Light Green","Hellgrün","Bleu ciel","Verde claro","Verde chiaro","浅绿色"
"text_menu_loading_mods","Загрузка модов...","Loading mods...","Mods werden geladen...","Chargement des mods...","Cargando mods...","Caricamento mod in corso...","正在加载模组……"
